timestamp,message,logStreamName
1.65617E+12,"[ERROR] NameError: name 'pickup_city' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 689, in lambda_handler
    return dispatch(event)
  File ""/var/task/lambda_function.py"", line 673, in dispatch
    return book_flight(intent_request)
  File ""/var/task/lambda_function.py"", line 415, in book_flight
    if (not pickup_city and not pickup_date and not return_date and not driver_age and not car_type)\",2022/06/25/[$LATEST]7c115b8661f646b8a80aaa5130a1aa80
1.65617E+12,"END RequestId: 5a877507-2584-470c-b059-7858d99291cc
",2022/06/25/[$LATEST]7c115b8661f646b8a80aaa5130a1aa80
1.65617E+12,"REPORT RequestId: 5a877507-2584-470c-b059-7858d99291cc	Duration: 7.15 ms	Billed Duration: 8 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	Init Duration: 127.54 ms	
",2022/06/25/[$LATEST]7c115b8661f646b8a80aaa5130a1aa80
1.65617E+12,"START RequestId: df1e53ad-2bd8-444e-a645-c7d6478d930e Version: $LATEST
",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"[DEBUG]	2022-06-25T14:33:08.129Z	df1e53ad-2bd8-444e-a645-c7d6478d930e	event.bot.name=BookTrip
",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"[DEBUG]	2022-06-25T14:33:08.129Z	df1e53ad-2bd8-444e-a645-c7d6478d930e	dispatch userId=John, intentName=BookFlight
",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"[ERROR] NameError: name 'confirmation_context' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 689, in lambda_handler
    return dispatch(event)
  File ""/var/task/lambda_function.py"", line 673, in dispatch
    return book_flight(intent_request)
  File ""/var/task/lambda_function.py"", line 416, in book_flight
    or confirmation_context == 'AutoPopulate':",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"END RequestId: df1e53ad-2bd8-444e-a645-c7d6478d930e
",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"REPORT RequestId: df1e53ad-2bd8-444e-a645-c7d6478d930e	Duration: 2.48 ms	Billed Duration: 3 ms	Memory Size: 128 MB	Max Memory Used: 37 MB	Init Duration: 126.79 ms	
",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"START RequestId: 10c2221e-b7bb-4df3-9abc-572c1f64d775 Version: $LATEST
",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"[DEBUG]	2022-06-25T14:33:09.528Z	10c2221e-b7bb-4df3-9abc-572c1f64d775	event.bot.name=BookTrip
",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
1.65617E+12,"[DEBUG]	2022-06-25T14:33:09.528Z	10c2221e-b7bb-4df3-9abc-572c1f64d775	dispatch userId=John, intentName=BookFlight
",2022/06/25/[$LATEST]54100a4129e342c688dd15bf5cb8c9f7
